RemovedFeature,CV_MAE,CV_R2,Delta_MAE,Delta_R2
SurvivabilityScore,1.5477637181256028,0.03247074885449856,0.04051811300143826,-0.055657387080941215
DecisionComplexity,1.5171818164168243,0.060755480252827884,0.009936211292659758,-0.027372655682611893
ObjectivePressureScore,1.5141124399668624,0.07784273151244354,0.0068668348426979,-0.010285404422996233
PositioningImportance,1.5128480501048778,0.08058740107689502,0.005602444980713273,-0.0075407348585447564
MobilityScore,1.5122689646669962,0.07627410197387803,0.005023359542831729,-0.011854033961561747
TeamUtilityScore,1.5110321540152132,0.0782168025181201,0.00378654889104868,-0.009911333417319673
EscapeScore,1.5078933796932177,0.08223598752922343,0.0006477745690531833,-0.005892148406216352
SkillFloor,1.5078699315047703,0.08190340302088142,0.000624326380605833,-0.006224732914558356
AreaControlScore,1.506899695127093,0.07956948730812201,-0.00034590999707151404,-0.00855864862731777
EngageScore,1.5032790019103737,0.08302610710062011,-0.003966603213790831,-0.005102028834819666
AimPrecision,1.5027760176118334,0.08666925320411709,-0.0044695875123310636,-0.0014588827313226915
SkillCeiling,1.5018883253494706,0.07543977249451124,-0.005357279774693913,-0.012688363440928538
CloseRangeThreatScore,1.5018492348347472,0.08753840095141005,-0.005396370289417307,-0.0005897349840297272
MechanicalDifficulty,1.5010108340406085,0.08348393861029021,-0.006234771083555968,-0.004644197325149563
PokePressureScore,1.4980828157557446,0.09160959689710953,-0.009162789368419855,0.0034814609616697495
LaneControlScore,1.4976765179654266,0.08969833050374579,-0.009569087158737943,0.0015701945683060103
