NumFeatures,MeanCV_MAE,StdCV_MAE
1,1.555069284774436,0.19950966136442702
2,1.5172418510091716,0.24462042693854008
3,1.5094819077375263,0.2500892647761555
4,1.5033406316660405,0.23266231406754787
5,1.4985452505907002,0.2435387954564447
6,1.4975391224101244,0.24471976614946414
7,1.4994601888434373,0.23477555069725206
8,1.502842432982515,0.22783615359649376
9,1.4989201180609129,0.217364609989799
10,1.501851050694126,0.2182352647270268
11,1.5132034002808683,0.21484669699647263
12,1.5152478854327236,0.21946481260510423
13,1.5130452431668133,0.2130223699225463
14,1.5060109091172689,0.2075404341880627
15,1.5064392905496429,0.20264533202953408
16,1.5073657244188994,0.21625785905840914
